,,,model,task,pe_technique,correct,total,accuracy,created_at,mean_length,median_length,std_length,min_length,max_length,mean_time_taken,median_time_taken,std_time_taken,min_time_taken,max_time_taken,total_time_taken
pythia-160m,math-number,zero-shot,pythia-160m,math-number,zero-shot,0,540,0.0,2024-05-04-08-53-45,10366.17037037037,10000,2502.6003440591644,4331,17701,19.871408872114046,19.951003450900316,0.5066021590775278,14.162298936862499,20.88238126365468,10730.560790941585
pythia-160m,math-number,null-shot,pythia-160m,math-number,null-shot,0,540,0.0,2024-05-04-11-52-37,11041.246296296296,11183,2716.9996061296188,5558,16882,19.77582428109815,19.806719394400716,0.17424401143655954,18.70389811322093,20.600823793094605,10678.945111793
pythia-160m,math-algebra,zero-shot,pythia-160m,math-algebra,zero-shot,0,1187,0.0,2024-05-03-09-25-22,10021.422072451558,9558,2816.59255612994,3172,27789,19.980845469512634,19.958035614341497,1.7887656041828819,14.680008461233228,77.40277088992298,23717.263572311494
pythia-160m,math-algebra,null-shot,pythia-160m,math-algebra,null-shot,0,1187,0.0,2024-05-03-16-00-41,10236.32603201348,9825,2907.0293821758496,4342,23504,19.751473414473526,19.79068417986855,0.3198087581185758,15.44604782992974,20.99989526392892,23444.998942980077
pythia-160m,anli,zero-shot,pythia-160m,anli,zero-shot,90,1200,7.5,2024-03-02-10-13-32,13467.106666666667,13640,2102.9888932870967,212,21359,32.99747827862535,33.507348384009674,2.4624163224129716,0.3983895890414715,34.80855299800169,39596.97393435042
pythia-160m,anli,null-shot,pythia-160m,anli,null-shot,66,1200,5.5,2024-03-02-21-13-37,13033.8475,13106,2051.8903656328903,445,20664,35.11692563285712,33.53774621896446,4.240249240174782,1.088912017061375,44.00266795209609,42140.31075942854
pythia-160m,triviaqa,zero-shot,pythia-160m,triviaqa,zero-shot,32,1000,3.2,2024-03-03-08-56-04,13252.174,13372,2607.889517545558,191,23792,34.361173916373055,34.159713941044174,3.7804943835815465,0.4308594149770215,44.869604021077976,34361.17391637305
pythia-160m,triviaqa,null-shot,pythia-160m,triviaqa,null-shot,23,1000,2.3,2024-03-03-18-28-52,13691.445,13762,2288.4526508046897,3275,24839,34.13158857444057,34.180320195970125,0.5954802681427832,25.457519621006213,34.96065753593575,34131.58857444057
pythia-160m,race-m,zero-shot,pythia-160m,race-m,zero-shot,34,1436,2.3676880222841223,2024-02-27-21-00-44,11465.949860724233,11726,2431.082546329561,241,18227,32.52650651317492,32.254286407027394,2.6882401027976277,0.4427099949680269,43.197176131012384,46708.063352919184
pythia-160m,race-m,null-shot,pythia-160m,race-m,null-shot,40,1436,2.785515320334262,2024-02-28-09-59-21,11441.792479108635,11675,2303.2250993008233,137,18423,31.853635301066188,32.00037467398215,2.041864278619064,0.30153376201633364,34.26948568795342,45741.820292331045
pythia-160m,strategyqa,zero-shot,pythia-160m,strategyqa,zero-shot,512,2290,22.358078602620086,2024-02-25-02-15-39,11002.803056768558,10945,2803.342927405943,3852,21837,33.513878042117476,33.799261120002484,1.2839278591550074,23.994753976992797,34.28283153404482,76746.78071644902
pythia-160m,strategyqa,null-shot,pythia-160m,strategyqa,null-shot,813,2290,35.50218340611354,2024-02-25-23-35-00,11433.491703056769,11166,2254.295584585631,4111,70095,33.93676941982696,33.644243043032475,1.8000034479826785,25.32273447199259,43.973266075016,77715.20197140373
pythia-160m,winogrande,zero-shot,pythia-160m,winogrande,zero-shot,74,1267,5.840568271507498,2024-02-26-21-10-29,10462.451460142069,11105,3494.171546812139,4061,30201,33.69230039627953,33.7789681450231,0.6024140837056695,25.29277912399266,34.81661771395011,42688.14460208616
pythia-160m,winogrande,null-shot,pythia-160m,winogrande,null-shot,42,1267,3.314917127071823,2024-02-27-09-02-05,11324.800315706392,11314,2838.8506982372814,4119,31426,34.02602684519853,33.775281201000325,0.4431415209807093,28.48240734299179,35.616120965976734,43110.97601286654
pythia-160m,math-pre-algebra,zero-shot,pythia-160m,math-pre-algebra,zero-shot,0,871,0.0,2024-05-05-00-42-29,10854.630309988519,10734,2467.1768963880504,3322,17733,19.71026879135759,19.898875700775534,0.7068616215884593,13.605901286005974,20.618419043254107,17167.64411727246
pythia-160m,math-pre-algebra,null-shot,pythia-160m,math-pre-algebra,null-shot,0,871,0.0,2024-05-05-05-28-38,11207.896670493685,11436,2624.106042891605,4611,23345,19.677631809998488,19.809264954179525,0.4566049295578328,15.976264941971749,20.648215542081743,17139.217306508683
pythia-160m,math-int-algebra,zero-shot,pythia-160m,math-int-algebra,zero-shot,0,903,0.0,2024-05-04-14-50-36,10145.679955703212,9968,2641.404375890528,4230,28105,19.702456983033226,19.818726878147572,0.6059401171381561,14.236199092119932,21.967657051980495,17791.318655679002
pythia-160m,math-int-algebra,null-shot,pythia-160m,math-int-algebra,null-shot,0,903,0.0,2024-05-04-19-47-09,9984.270210409746,9542,2820.058508474014,4503,27290,19.621027123659502,19.69461785722524,0.4275574340332813,14.95004011830315,20.749525546096265,17717.78749266453
pythia-160m,gsm8k,zero-shot,pythia-160m,gsm8k,zero-shot,18,1319,1.3646702047005308,2024-02-24-01-53-05,12030.97952994693,12269,2440.598755821995,244,18857,33.21915900891881,33.32076307700481,1.3062960225367308,0.5249248479958624,34.8369567799964,43816.07073276391
pythia-160m,gsm8k,null-shot,pythia-160m,gsm8k,null-shot,17,1319,1.288855193328279,2024-02-24-14-03-30,12130.211523881728,12436,2557.0322689104464,4089,26213,33.2987920438075,33.18403268500697,1.1282078618344429,30.497411468997598,43.71179381600814,43921.10670578209
pythia-160m,aqua,zero-shot,pythia-160m,aqua,zero-shot,21,254,8.267716535433072,2024-02-23-21-12-19,10733.472440944883,11104,3362.1861779071355,3324,17494,33.29160554825981,33.08906444199965,4.551866045866936,22.77716522300034,104.59424042500905,8456.067809257991
pythia-160m,aqua,null-shot,pythia-160m,aqua,null-shot,15,254,5.905511811023622,2024-02-23-23-33-17,9957.094488188977,10242,3311.144031029395,4019,19313,33.0203435194172,32.94608129900007,0.3250951829122984,32.057465808000416,33.903670248007984,8387.16725393197
pythia-160m,race-h,zero-shot,pythia-160m,race-h,zero-shot,51,3498,1.4579759862778732,2024-02-28-22-41-52,12211.875929102343,12479,2632.4947386327067,92,22549,30.73917670486117,30.989879494998604,3.8643666631430644,0.22047693899367005,41.64963717292994,107525.64011360437
pythia-160m,race-h,null-shot,pythia-160m,race-h,null-shot,52,3498,1.4865637507146943,2024-03-01-04-34-20,11951.029731275014,12257,2532.3783162858404,93,18932,30.511923625791354,30.756229518912733,3.510980767970636,0.20694733608979732,42.67316980601754,106730.70884301816
pythia-160m,math-geometry,zero-shot,pythia-160m,math-geometry,zero-shot,0,479,0.0,2024-05-04-03-43-26,11406.052192066805,11861,2445.6590334556386,3920,26664,19.470251563819815,19.755977819208056,0.6380076310750734,14.644850937183946,20.726826686412096,9326.25049906969
pythia-160m,math-geometry,null-shot,pythia-160m,math-geometry,null-shot,0,479,0.0,2024-05-04-06-18-54,11543.269311064718,11854,2801.731035991005,4311,18800,19.395857268878277,19.679352569859475,0.6162503601052085,14.43933785893023,20.47828609822318,9290.615631792694
pythia-160m,math-count-prob,zero-shot,pythia-160m,math-count-prob,zero-shot,0,474,0.0,2024-05-03-22-31-29,11079.675105485232,11128,2789.3601938559354,4454,17624,19.762101421681848,19.86116936802864,0.4953920038066206,13.376363723073155,20.521426897030324,9367.236073877197
pythia-160m,math-count-prob,null-shot,pythia-160m,math-count-prob,null-shot,0,474,0.0,2024-05-04-01-07-37,11229.552742616033,11542,2963.757101111899,4284,22803,19.723415606106997,19.826838046777993,0.5092193506614406,13.305937522090971,20.709201539866626,9348.898997294717
pythia-160m,math-pre-calc,zero-shot,pythia-160m,math-pre-calc,zero-shot,0,546,0.0,2024-05-05-10-14-19,11227.558608058607,12013,2324.2886117249736,4891,18750,19.646574283266037,19.76874928921461,0.6216773947591043,14.245469924993813,20.671099793631583,10727.029558663256
pythia-160m,math-pre-calc,null-shot,pythia-160m,math-pre-calc,null-shot,0,546,0.0,2024-05-05-13-13-07,11004.996336996337,10791,2567.3971226389135,4947,25019,19.621015612525532,19.681675279978663,0.3173471001561666,16.554394313134253,20.33935514697805,10713.07452443894
qwen-1.5-0.5b-chat,math-number,zero-shot,qwen-1.5-0.5b-chat,math-number,zero-shot,4,540,0.7407407407407408,2024-04-30-01-58-46,1229.025925925926,588,1996.0143395708085,53,17155,9.59538589942062,3.2346650240942836,18.11550881514087,0.333234635181725,82.85846170317382,5181.508385687135
qwen-1.5-0.5b-chat,math-number,null-shot,qwen-1.5-0.5b-chat,math-number,null-shot,1,540,0.1851851851851852,2024-04-30-03-25-11,1189.3111111111111,585,1926.7212409289812,47,13102,9.404777366081598,3.2788411621004343,18.184427138649994,0.1732783648185432,82.38050302304327,5078.579777684063
qwen-1.5-0.5b-chat,math-algebra,zero-shot,qwen-1.5-0.5b-chat,math-algebra,zero-shot,5,1187,0.42122999157540014,2024-04-29-16-00-49,1054.664700926706,595,1629.33886368993,93,9631,8.348187307576495,3.5823705191724002,16.324496163643932,0.6089078648947179,84.09479976678267,9909.298334093299
qwen-1.5-0.5b-chat,math-algebra,null-shot,qwen-1.5-0.5b-chat,math-algebra,null-shot,8,1187,0.6739679865206403,2024-04-29-18-48-05,1063.4987363100254,588,1609.973397601365,17,10200,8.425154274698698,3.4426103197038174,16.41619304840395,0.2668950608931482,67.2262165392749,10000.658124067355
qwen-1.5-0.5b-chat,anli,zero-shot,qwen-1.5-0.5b-chat,anli,zero-shot,298,1200,24.833333333333332,2024-02-08-00-39-20,446.3325,404,228.29501077279363,109,2440,0.8402350543493715,0.760331988800317,0.4124733048570348,0.2290511359460652,4.521259305998683,1008.2820652192459
qwen-1.5-0.5b-chat,anli,null-shot,qwen-1.5-0.5b-chat,anli,null-shot,326,1200,27.166666666666668,2024-02-08-00-56-10,373.12833333333333,359,131.34098191560605,88,1497,0.7112474148119023,0.6851799678988755,0.23922414437455905,0.19452401576563716,2.567898611072451,853.4968977742828
qwen-1.5-0.5b-chat,triviaqa,zero-shot,qwen-1.5-0.5b-chat,triviaqa,zero-shot,120,1000,12.0,2024-02-08-01-10-25,240.951,152,231.64685752023473,16,2776,0.5165196633986198,0.3742049019783735,0.4447821306101954,0.05780184827744961,5.198939765803516,516.5196633986197
qwen-1.5-0.5b-chat,triviaqa,null-shot,qwen-1.5-0.5b-chat,triviaqa,null-shot,113,1000,11.3,2024-02-08-01-19-03,278.529,189,510.9384436103829,17,14233,0.5972420991277322,0.44211301300674677,1.2261946913587087,0.0661980640143156,35.581893844064325,597.2420991277322
qwen-1.5-0.5b-chat,race-m,zero-shot,qwen-1.5-0.5b-chat,race-m,zero-shot,644,1436,44.84679665738162,2024-02-07-23-57-22,99.3983286908078,36,145.56560552729152,4,888,0.2493381499096201,0.1212048577144742,0.30104990231977713,0.04205688228830695,2.281096920836717,358.0495832702145
qwen-1.5-0.5b-chat,race-m,null-shot,qwen-1.5-0.5b-chat,race-m,null-shot,553,1436,38.50974930362117,2024-02-08-00-03-22,86.33147632311977,41,121.77622353837751,4,1498,0.2222120993307592,0.12913528503850102,0.25063768777312917,0.03992609912529588,3.430937676690519,319.0965746389702
qwen-1.5-0.5b-chat,strategyqa,zero-shot,qwen-1.5-0.5b-chat,strategyqa,zero-shot,1046,2290,45.6768558951965,2024-02-07-22-31-12,408.56681222707425,366,254.15252295574894,8,5584,0.872367933180232,0.7789491359144449,1.1215323519011804,0.050240457989275455,49.033004915807396,1997.7225669827312
qwen-1.5-0.5b-chat,strategyqa,null-shot,qwen-1.5-0.5b-chat,strategyqa,null-shot,1012,2290,44.19213973799126,2024-02-07-23-04-33,379.62576419213974,360,210.21488930509068,6,1573,0.8011937795402116,0.7628345037810504,0.4041033554249637,0.0312308669090271,3.047628608997911,1834.7337551470846
qwen-1.5-0.5b-chat,winogrande,zero-shot,qwen-1.5-0.5b-chat,winogrande,zero-shot,597,1267,47.119179163378064,2024-02-07-23-35-10,237.51775848460932,186,143.95920547745516,6,1524,0.5116330418550508,0.4120897436514497,0.2778571680532285,0.04055136814713478,3.082593558821827,648.2390640303493
qwen-1.5-0.5b-chat,winogrande,null-shot,qwen-1.5-0.5b-chat,winogrande,null-shot,563,1267,44.43567482241516,2024-02-07-23-46-00,248.19573796369377,204,140.8498880667554,6,1645,0.5371055564837238,0.44760690024122596,0.2766015397575572,0.04346856474876404,3.296826882753521,680.512740064878
qwen-1.5-0.5b-chat,math-pre-algebra,zero-shot,qwen-1.5-0.5b-chat,math-pre-algebra,zero-shot,11,871,1.2629161882893225,2024-04-30-13-02-18,896.5545350172216,533,1617.8762436579832,36,14825,5.930857837077735,2.7440764978528023,13.036797336338072,0.14514375384896994,66.82811342692003,5165.777176094707
qwen-1.5-0.5b-chat,math-pre-algebra,null-shot,qwen-1.5-0.5b-chat,math-pre-algebra,null-shot,6,871,0.6888633754305395,2024-04-30-14-28-28,837.8587830080368,553,1270.298533681413,32,10577,5.72828033493017,2.8522472460754216,12.144002170538176,0.13942978018894792,81.97760788025334,4989.332171724178
qwen-1.5-0.5b-chat,math-int-algebra,zero-shot,qwen-1.5-0.5b-chat,math-int-algebra,zero-shot,5,903,0.5537098560354374,2024-04-30-04-49-52,1961.5725359911407,818,2411.5993900187837,61,12590,17.70153587080223,5.3611444272100925,24.640453141058202,0.30233049113303423,81.82700470322743,15984.48689133441
qwen-1.5-0.5b-chat,math-int-algebra,null-shot,qwen-1.5-0.5b-chat,math-int-algebra,null-shot,0,903,0.0,2024-04-30-09-16-22,1760.3787375415282,751,2228.845502260684,57,11158,15.006054714826428,4.44110753107816,22.11537421145889,0.5854089809581637,66.16845015762374,13550.467407488264
qwen-1.5-0.5b-chat,gsm8k,zero-shot,qwen-1.5-0.5b-chat,gsm8k,zero-shot,114,1319,8.642911296436695,2024-02-07-20-53-11,638.9196360879454,569,674.5526782657086,32,14248,2.1085066716698613,1.7141796271316707,3.644896405310561,0.08024153206497431,48.85122462315485,2781.120299932547
qwen-1.5-0.5b-chat,gsm8k,null-shot,qwen-1.5-0.5b-chat,gsm8k,null-shot,98,1319,7.429871114480667,2024-02-07-21-39-33,743.9848369977256,627,852.0273960510223,23,11786,2.3479344651994096,1.7802702700719237,4.532802380717119,0.08694842038676143,48.82219139812514,3096.925559598021
qwen-1.5-0.5b-chat,aqua,zero-shot,qwen-1.5-0.5b-chat,aqua,zero-shot,48,254,18.89763779527559,2024-02-07-20-36-45,622.5433070866142,510,835.1556670956483,23,8505,2.2761106931102115,1.5496101179160178,5.395244596930187,0.11953681102022529,50.24651284515858,578.1321160499938
qwen-1.5-0.5b-chat,aqua,null-shot,qwen-1.5-0.5b-chat,aqua,null-shot,51,254,20.078740157480315,2024-02-07-20-46-23,495.5196850393701,417,547.8564650576033,43,6673,1.6020096693239285,1.1735662147402763,3.317508524257917,0.1386654577217996,48.50662057008594,406.91045600827783
qwen-1.5-0.5b-chat,race-h,zero-shot,qwen-1.5-0.5b-chat,race-h,zero-shot,1432,3498,40.93767867352773,2024-02-08-00-08-43,129.52001143510577,49,174.02220429291148,4,1058,0.27637585446176216,0.13434820901602507,0.3075110747107521,0.0419055949896574,2.151273000985384,966.762738907244
qwen-1.5-0.5b-chat,race-h,null-shot,qwen-1.5-0.5b-chat,race-h,null-shot,1272,3498,36.36363636363637,2024-02-08-00-24-55,112.38536306460834,50,150.20979280830576,4,1476,0.2460780129315339,0.13673486933112144,0.2666181862630107,0.0351211316883564,2.812088504899293,860.7808892345056
qwen-1.5-0.5b-chat,math-geometry,zero-shot,qwen-1.5-0.5b-chat,math-geometry,zero-shot,1,479,0.20876826722338201,2024-04-30-00-04-22,1066.688935281837,637,1525.4565616923835,31,9833,7.3601481915307705,3.408947062678635,14.558460947336828,0.2074093809351325,82.63822155678645,3525.510983743239
qwen-1.5-0.5b-chat,math-geometry,null-shot,qwen-1.5-0.5b-chat,math-geometry,null-shot,1,479,0.20876826722338201,2024-04-30-01-03-10,1013.8580375782881,620,1532.6634289782132,33,10622,6.958901484375373,3.3504246370866895,14.205948652865462,0.3051290758885443,81.57625684188679,3333.3138110158034
qwen-1.5-0.5b-chat,math-count-prob,zero-shot,qwen-1.5-0.5b-chat,math-count-prob,zero-shot,2,474,0.42194092827004215,2024-04-29-21-34-52,1514.740506329114,737,2249.1139620076233,37,15949,9.949170710660423,3.813385128043592,17.238616168955865,0.16206219140440226,66.95438488898799,4715.9069168530405
qwen-1.5-0.5b-chat,math-count-prob,null-shot,qwen-1.5-0.5b-chat,math-count-prob,null-shot,1,474,0.21097046413502107,2024-04-29-22-53-31,1415.8270042194092,753,2131.0289524623536,71,17536,8.962773318298334,3.6001738999038935,15.705259821039776,0.4740258841775358,66.46888849092647,4248.35455287341
qwen-1.5-0.5b-chat,math-pre-calc,zero-shot,qwen-1.5-0.5b-chat,math-pre-calc,zero-shot,0,546,0.0,2024-04-30-15-51-43,2067.5384615384614,834,2698.6810975184026,80,10355,15.716965594201865,4.8074409030377865,22.877343778182386,0.36955838557332754,66.53474478190765,8581.463214434218
qwen-1.5-0.5b-chat,math-pre-calc,null-shot,qwen-1.5-0.5b-chat,math-pre-calc,null-shot,0,546,0.0,2024-04-30-18-14-47,1830.7454212454213,806,2444.413926931906,15,9892,14.173767164897944,4.641431585885584,21.873277956051417,0.17442273395136,81.37576748104766,7738.876872034278
gemini-pro-chat,math-number,zero-shot,gemini-pro-chat,math-number,zero-shot,87,540,16.11111111111111,2024-04-30-11-33-56,33.053703703703704,14,183.17232041922713,9,2054,1.1238366979665848,0.8627381999976933,2.49225327686295,0.7409629998728633,29.68756869994104,606.8718169019558
gemini-pro-chat,math-number,null-shot-cot,gemini-pro-chat,math-number,null-shot-cot,102,540,18.88888888888889,2024-04-30-12-20-47,480.9074074074074,329,625.7936669932308,0,5980,4.1881874674077455,2.8923308001831174,5.092414030851684,0.8055942999199033,30.439520999789238,2261.6212324001826
gemini-pro-chat,math-number,zero-shot-cot,gemini-pro-chat,math-number,zero-shot-cot,90,540,16.666666666666664,2024-04-30-11-59-20,199.8111111111111,15,512.3433576936848,0,5970,2.2155025211102504,0.9280709996819496,3.917812601349142,0.7498459001071751,30.596659400034696,1196.371361399535
gemini-pro-chat,math-number,null-shot,gemini-pro-chat,math-number,null-shot,87,540,16.11111111111111,2024-04-30-11-46-18,41.93333333333333,14,218.4178784569382,13,2924,1.2261782807332497,0.8889099000953138,2.764306950004163,0.7750162999145687,29.742395699955523,662.1362715959549
gemini-pro-chat,math-algebra,zero-shot,gemini-pro-chat,math-algebra,zero-shot,295,1187,24.85256950294861,2024-04-30-06-13-02,40.142375737152484,14,131.77618479812526,9,3585,1.070295978763173,0.8685548002831638,1.0445719054601155,0.7346351998858154,29.855752700008452,1270.4413267918862
gemini-pro-chat,math-algebra,null-shot-cot,gemini-pro-chat,math-algebra,null-shot-cot,508,1187,42.79696714406065,2024-04-30-08-00-41,421.3302443133951,298,598.467439333925,0,7436,3.6270789761541895,2.736724999733269,4.3850634673794255,0.7926459000445902,31.315142299979925,4305.342744695023
gemini-pro-chat,math-algebra,zero-shot-cot,gemini-pro-chat,math-algebra,zero-shot-cot,394,1187,33.19292333614153,2024-04-30-07-09-41,248.80539174389216,136,441.20199994572,9,4465,2.4688557316862965,1.7992849997244775,3.3940680137669332,0.7644000998698175,31.492634300142527,2930.5317535116337
gemini-pro-chat,math-algebra,null-shot,gemini-pro-chat,math-algebra,null-shot,321,1187,27.04296545914069,2024-04-30-06-38-50,82.68239258635215,15,246.16498337758097,9,4045,1.3679928947765798,0.9076507999561727,1.9234105927230523,0.7571984999813139,30.55230200011283,1623.8075660998002
gemini-pro-chat,anli,zero-shot,gemini-pro-chat,anli,zero-shot,613,1200,51.083333333333336,2024-02-11-20-55-25,13.236666666666666,13,3.0817725779528806,0,16,1.2769507275808913,1.072748800041154,0.639030555033607,0.24691999983042479,8.278852500021458,1532.3408730970696
gemini-pro-chat,anli,null-shot-cot,gemini-pro-chat,anli,null-shot-cot,540,1200,45.0,2024-02-11-20-55-27,80.1925,16,143.96656015807898,0,875,1.73213428600245,1.320716500049457,1.0454068359659234,0.23519699997268617,10.327671299921349,2078.56114320294
gemini-pro-chat,anli,zero-shot-cot,gemini-pro-chat,anli,zero-shot-cot,587,1200,48.91666666666667,2024-02-11-20-55-26,14.296666666666667,16,2.78872531614157,0,16,1.4279893019199759,1.1141051999293268,2.008976050972793,0.2547493001911789,66.18719270010479,1713.5871623039711
gemini-pro-chat,anli,null-shot,gemini-pro-chat,anli,null-shot,623,1200,51.916666666666664,2024-02-11-20-55-25,14.009166666666667,13,2.4140041367450653,0,16,1.2869780904993726,1.0991934998892248,0.5518633493664699,0.2970951998140663,5.648444399936125,1544.373708599247
gemini-pro-chat,triviaqa,zero-shot,gemini-pro-chat,triviaqa,zero-shot,705,1000,70.5,2024-02-11-20-55-34,13.327,9,61.19359501614525,0,1779,1.55821479769703,1.0992529999930412,1.15426945263127,0.7812552999239415,12.06490009999834,1558.21479769703
gemini-pro-chat,triviaqa,null-shot-cot,gemini-pro-chat,triviaqa,null-shot-cot,9,1000,0.8999999999999999,2024-02-11-20-55-37,163.959,164,38.30158376620994,0,368,1.778668097902555,1.4409302999265492,0.9791509120514265,1.0362521999049932,12.158563500037417,1778.668097902555
gemini-pro-chat,triviaqa,zero-shot-cot,gemini-pro-chat,triviaqa,zero-shot-cot,620,1000,62.0,2024-02-11-20-55-36,63.953,12,136.33021965433778,0,2034,1.5214534723942634,1.225873899878934,0.8613186912478911,0.7772135999985039,7.6889861999079585,1521.4534723942634
gemini-pro-chat,triviaqa,null-shot,gemini-pro-chat,triviaqa,null-shot,254,1000,25.4,2024-02-11-20-55-35,103.589,130,86.21562549213458,0,1698,1.7148597355964594,1.346851299982518,1.0578417179788022,0.8045325998682529,10.68659000005573,1714.8597355964594
